Product,Current Price,Orignal Price,Weight in lbs,True Weight,Brand,Producer,State,City,Zip Code,Source,True Amount,Amount in dz,Local,Vendor,VendorAddress
Hy-Vee Cage Free Large Brown Egg Grade A,5.98,5.98,,,,,,,,Hyvee,18 ct,1.5,False,, Egg Vorarlberg 
Eggland's Best Cage Free Large Brown Eggs,4.99,4.99,,,,,,,,Hyvee,12 ct,1.0,False,,4 Avenue Oxford England 
Hy-Vee Cage Free Large Brown Egg Grade A,3.99,3.99,,,,,,,,Hyvee,12 ct,1.0,False,, Egg Vorarlberg 
Hy-Vee Cage Free Omega-3 Grade A Large Brown Eggs,3.99,3.99,,,,,,,,Hyvee,12 ct,1.0,False,, Tokologo Free State 
Farmers Hen House Pasture Raised Organic Grade A Large Brown Eggs,6.99,6.99,,,,,,,,Hyvee,12 ct Carton,1.0,False,, St. John Figtree Nevis 
Hy-Vee HealthMarket Organic Grade A Large Eggs,5.49,5.49,,,,,,,,Hyvee,12 ct,1.0,False,,1040 E Commerce Blvd Slinger WI 53086
Eggland's Best Classic Extra Large White Eggs,4.29,4.29,,,,,,,,Hyvee,12 ct,1.0,False,,27-31 Upton Road Watford England WD18 0JF
Hy-Vee Grade A Extra Large Eggs,4.49,4.49,,,,,,,,Hyvee,12 ct,1.0,False,,
Eggland's Best Classic Extra Large White Eggs,6.49,6.49,,,,,,,,Hyvee,18 ct,1.5,False,,27-31 Upton Road Watford England WD18 0JF
Hy-Vee One Step Pasture Raised Large Brown Eggs,4.99,4.99,,,,,,,,Hyvee,1 dz,1.0,False,,500 Crossroads Dr SW Rochester MN 55902
Farmers Hen House Jumbo Brown Eggs,4.99,4.99,,,,,,,,Hyvee,12 ct,1.0,True,,1956 520th St SW Kalona IA 52247
"Nellie's Eggs, Brown, Free Range, Large",7.99,7.99,,,,,,,,Hyvee,18 ct,1.5,False,,
Hy-Vee Grade A Medium Eggs,3.78,3.78,,,,,,,,Hyvee,12 ct,1.0,False,,
"Pete & Gerry's Eggs, Organic, Brown, Free Range, Large",6.99,6.99,,,,,,,,Hyvee,12 ct,1.0,False,, St Petersburg FL 
Eggland's Best 100% USDA Organic Certified Large Brown Eggs,6.79,6.79,,,,,,,,Hyvee,12 ct,1.0,False,,
Nellie's Free Range Eggs Large Fresh Brown Grade A,5.99,5.99,,,,,,,,Hyvee,12 ct,1.0,False,,
Hy-Vee Grade A Large Eggs,2.39,2.39,,,,,,,,Hyvee,6 ct,0.5,False,,
Farmers Hen House Organic Large Brown Eggs,3.49,3.49,,,,,,,,Hyvee,6 ct,0.5,True,,1956 520th St SW Kalona IA 52247
